Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_752	345630000	84075000	253880000	398900000	254640000	818200000
protein_753	10712000	1780400	909520	4624000	5632000	10584000
protein_754	2910200	272650	5653800	19112000	6261600	33833000
protein_755	4172200	1340800	6041000	46822000	17019000	91799000
protein_756	43546000	12750000	43656000	53900000	20231000	98895000
protein_757	133300000	30435000	93838000	172100000	119460000	367690000
protein_758	71385000	28837000	58835000	107480000	75109000	191580000
protein_759	8638800	0	314670	62119000	3470000	23338000
protein_760	698560000	139160000	387390000	591340000	444720000	1027300000
protein_761	4197600	1458400	11960000	42439000	43697000	78711000
protein_762	235320000	49043000	116880000	140810000	113350000	240280000
protein_763	54395000	16498000	52252000	155590000	89037000	291820000
protein_764	142290000	34661000	99910000	147690000	119860000	394290000
protein_765	670630000	177650000	307940000	485520000	674740000	1137200000
protein_766	54809000	10090000	33293000	34185000	20857000	60229000
protein_767	178150000	12493000	35958000	57108000	32076000	210920000
protein_768	101500000	29347000	71848000	129650000	97737000	217790000
protein_769	11631000	2786100	9387600	8277000	3172300	9799200
protein_770	87791000	42779000	28463000	58624000	74640000	75576000
protein_771	71168000	20528000	42588000	78746000	43535000	139660000
protein_772	4536000	1231000	4895400	8134500	4741100	19526000
protein_773	149630000	38674000	56951000	75768000	83152000	142610000
protein_774	236370000	91738000	160300000	204960000	210360000	364450000
protein_775	237310000	68905000	127460000	126720000	291390000	341400000
protein_776	0	2913000	1562800	512990	0	39987000
protein_777	66773000	51886000	34276000	67919000	63227000	114400000
protein_778	132260000	21116000	78323000	72126000	64651000	129190000
protein_779	161980000	33302000	50329000	29933000	56300000	45476000
protein_780	10934000	4126500	10213000	12513000	10824000	27871000
protein_781	19565000	3563600	13017000	28385000	27904000	111770000
protein_782	7481600	3098200	12494000	110060000	125000000	122430000
protein_783	207690000	19063000	48965000	159050000	179480000	167920000
protein_784	400760000	75851000	161100000	159910000	158800000	266030000
protein_785	110960000	13983000	36111000	87243000	101250000	131210000
protein_786	133000000	18919000	76719000	124200000	85867000	278290000
protein_787	83246000	20159000	55555000	83673000	55076000	182890000
protein_788	371150000	104580000	234750000	376650000	336740000	761190000
protein_789	13121000	3566300	8472600	15693000	10838000	40018000
protein_790	0	18544000	0	0	23875000	28159000
protein_791	9516500	2867800	4669200	6656500	6027200	13315000
protein_792	30214000	8109100	19812000	4099100000	4341700000	4650300000
protein_793	27692000	13375000	19319000	32847000	36836000	48641000
protein_794	75835000	17548000	57945000	23970000	9175600	47278000
protein_795	180760000	44592000	57425000	30650000	51679000	49711000
protein_796	94854000	19831000	44409000	27153000	24716000	40981000
protein_797	124640000	46816000	62777000	82716000	67386000	154420000
protein_798	147310000	31252000	17870000	45621000	48404000	44742000
protein_799	96085000	27810000	60227000	53603000	109610000	155040000
protein_800	1031200000	151560000	450150000	1243300000	1358500000	2430800000
protein_801	17220000	5519600	14835000	10408000	13072000	26341000
protein_802	104660000	15171000	56929000	78409000	50164000	149540000
protein_803	60494000	9267100	25166000	33162000	21773000	78362000
protein_804	558660000	279150000	123080000	183770000	370530000	294740000
protein_805	12871000	5249400	9375000	42568000	20966000	40957000
protein_806	34305000	7874000	17036000	38370000	28134000	81798000
protein_807	29038000	8452000	22839000	81100000	97009000	188850000
protein_808	16293000	9743900	7646700	13647000	17523000	14383000
protein_809	1227200000	268270000	297640000	553990000	662480000	660960000
protein_810	9907600	2517400	4749800	5112800	4336600	10302000
protein_811	0	0	0	11175000	6934500	402000000
protein_812	33666000	9987500	7666600	11718000	10423000	8333000
protein_813	11507000	3520900	5746300	5904100	3507300	7224900
protein_814	143160000	44778000	96061000	90729000	88617000	171590000
protein_815	98693000	27049000	68808000	106950000	83848000	166900000
protein_816	18011000	1573400	9078500	13481000	14749000	21266000
protein_817	8767100	1598000	3695800	6700200	5674900	12081000
protein_818	2177800	143520	4749100	7496300	4044800	17876000
protein_819	23036000	3173400	10726000	12123000	5383600	10347000
protein_820	228410000	107090000	91535000	72716000	96472000	102370000
protein_821	33648000	8063000	2001800	14738000	28176000	28411000
protein_822	11677000	3955600	6316300	4274100	6058100	7836900
protein_823	75112000	15825000	51665000	69217000	45217000	83230000
protein_824	38672000	5570500	8759400	15011000	22538000	16912000
protein_825	202900000	58460000	130930000	72982000	98117000	235770000
protein_826	21073000	9528000	18519000	25621000	27956000	62202000
protein_827	27306000	5960600	18696000	14627000	19055000	37173000
protein_828	8419600	5097700	7490700	15011000	8704100	32163000
protein_829	56081000	23247000	36748000	43993000	55532000	133620000
protein_830	11952000	137860000	16278000	13065000	12368000	20580000
protein_831	9039800	4566000	16273000	19963000	7555600	41589000
protein_832	169010000	23531000	42953000	147590000	323380000	301120000
protein_833	32613000	7613100	17997000	20597000	15201000	57380000
protein_834	475050000	118550000	305760000	547290000	367620000	739510000
protein_835	403000000	79966000	243940000	391240000	250700000	617630000
protein_836	169780000	87665000	36329000	225660000	225290000	163980000
protein_837	247380000	19093000	54033000	329520000	341180000	349640000
protein_838	27126000	5349200	24781000	26597000	18599000	50340000
protein_839	44121000	11434000	10609000	29324000	16259000	48661000
protein_840	25865000	5791600	10797000	17541000	21370000	23449000
protein_841	87870000	23163000	72816000	181340000	136420000	436190000
protein_842	3490900	528900	1645100	235540000	148150000	398970000
protein_843	21023000	939370	3376800	5370000	2606700	20951000
protein_844	111680000	22125000	66007000	58080000	34910000	107480000
protein_845	96420000	23240000	61927000	69739000	52929000	113680000
protein_846	19157000	1576400	14355000	3315000	2341000	14063000
protein_847	3515900	660280	1920900	3077400	1989000	126670000
protein_848	724220000	141250000	272720000	351980000	356290000	566180000
protein_849	65644000	13296000	49836000	103760000	67412000	280070000
protein_850	49078000	14348000	27721000	67518000	37823000	125920000
protein_851	73379000	26816000	39241000	52348000	65564000	114670000
protein_852	11006000	845220	334570	11547000	12932000	28150000
protein_853	11002000	2634100	5288000	37064000	51065000	47987000
protein_854	149660000	33082000	39987000	50645000	121900000	86555000
protein_855	55730000	16833000	32811000	83482000	73701000	195130000
protein_856	56607000	16511000	35660000	63297000	46712000	120440000
protein_857	71579000	49998000	177590000	2929300000	1492600000	5206800000
protein_858	35179000	2627700	64234000	28686000	14801000	30139000
protein_859	0	0	1865700	455810	0	712450
protein_860	0	0	171670	23373000	12814000	0
protein_861	38105000	14731000	15156000	31505000	54197000	37901000
protein_862	38994000	7203600	29307000	38146000	24923000	94066000
protein_863	2005200	563420	2578500	7342900	5943200	19251000
protein_864	9576300	4917500	18270000	430750000	265160000	1105600000
protein_865	44900000	10416000	23670000	1676000000	827190000	3116200000
protein_866	22036000	3758000	15771000	28781000	12795000	27873000
protein_867	447410000	95952000	300200000	479250000	393830000	846630000
protein_868	88236000	44955000	77198000	127500000	121980000	217680000
protein_869	43317000	13314000	31807000	29285000	24230000	60916000
protein_870	12391000	7261200	3974200	184780000	200830000	280640000
protein_871	35487000	8001800	16201000	75249000	78407000	173980000
protein_872	37407000	11240000	23274000	65793000	33591000	129690000
protein_873	44610000	9704700	32383000	32174000	21432000	76109000
protein_874	11659000	2458100	5730500	8838100	6219000	21918000
protein_875	13183000	1665300	4717500	14654000	13384000	19153000
protein_876	3571800	1262400	2943700	18530000	12623000	18073000
protein_877	1554200	472720	1398800	526360	12814000	46314000
protein_878	67857000	23942000	78849000	98558000	51065000	230290000
protein_879	8822000	3170700	6764600	9393000	7465600	16732000
protein_880	78038000	19990000	48296000	79558000	51652000	138590000
protein_881	28215000	14452000	10617000	14790000	22726000	28322000
protein_882	40317000	9580400	29850000	38383000	23195000	70508000
protein_883	18021000	4569300	17238000	25327000	12080000	23402000
protein_884	77067000	17521000	54949000	160830000	100570000	282590000
protein_885	28900000	4447700	18497000	18157000	11717000	32793000
protein_886	98470000	24924000	58676000	105490000	64746000	163540000
protein_887	12313000	8221200	5941200	7105000	4155400	5891300
protein_888	678880	539550	1986300	5011800	8122200	17832000
protein_889	9953100	2915900	10684000	14057000	6144100	28780000
protein_890	124220000	18153000	77301000	51560000	54956000	113820000
protein_891	95380000	27170000	93036000	99003000	80025000	242490000
protein_892	1358200000	339300000	939100000	875570000	643170000	1641900000
protein_893	139320000	31145000	84290000	103570000	60204000	216360000
protein_894	682430000	198500000	455640000	478420000	272960000	934870000
protein_895	67867000	22933000	75432000	50731000	37145000	117470000
protein_896	246900000	70785000	66082000	117690000	98275000	43762000
protein_897	29406000	2730600	8865900	0	0	23429000
protein_898	2935300	990630	3022300	8622100	5877100	15944000
protein_899	363050000	121770000	204780000	334220000	294020000	527780000
protein_900	63820000	18379000	55885000	180130000	151360000	438630000
protein_901	42053000	9916000	27294000	62194000	51441000	118320000
protein_902	5550100	1982200	3442300	8018300	6286100	17445000
protein_903	558850000	210240000	379630000	352890000	404450000	663100000
protein_904	52021000	12455000	42887000	52333000	27741000	67366000
protein_905	247910000	80095000	237250000	214360000	208650000	522290000
protein_906	31564000	8967500	30909000	38481000	26724000	74955000
protein_907	3341900000	636050000	1488100000	1340300000	1448100000	2583100000
protein_908	118120000	29688000	88238000	157130000	123030000	403160000
protein_909	67989000	36370000	70291000	119890000	108750000	277870000
protein_910	20665000	8142400	26855000	38618000	26002000	66806000
protein_911	3650500	1387500	3339100	11415000	11091000	21827000
protein_912	6691400	943300	4265800	18422000	11418000	30604000
protein_913	145690000	52388000	37673000	122570000	125860000	112510000
protein_914	6025400	960360	2947100	8219100	6435900	10583000
protein_915	337140000	86003000	203120000	251290000	159930000	505340000
protein_916	312910000	76910000	122210000	273230000	323250000	384630000
protein_917	499140000	121700000	174470000	224930000	248060000	285810000
protein_918	1373100000	544720000	328040000	34410000	36191000	64070000
protein_919	93890000	16496000	66165000	50948000	28378000	84918000
protein_920	8103800	1590600	8823600	36710000	10620000	68559000
protein_921	230720000	44268000	87267000	117830000	169110000	216100000
protein_922	12091000	2010100	2804200	4653000	11114000	11201000
protein_923	14741000	7188800	19100000	18562000	17241000	51976000
protein_924	2790600	506250	3270200	9748900	4699200	20372000
protein_925	71762000	20358000	36207000	35693000	26138000	111570000
protein_926	246830000	77603000	208750000	261590000	205690000	574900000
protein_927	23584000	6215100	16115000	27242000	12192000	46164000
protein_928	65700000	42838000	15092000	29127000	41398000	37471000
protein_929	128870000	31785000	77713000	129290000	95254000	214600000
protein_930	306660000	96005000	173640000	328300000	303150000	489130000
protein_931	29330000	5431000	18741000	32383000	26542000	245310000
protein_932	1363900	155670	4214700	8089100	4316400	340120000
protein_933	15822000	7804100	13050000	45862000	32503000	65326000
protein_934	104460000	16988000	64034000	79762000	63159000	145830000
protein_935	71751000	15257000	50467000	73383000	69494000	136630000
protein_936	580750000	253770000	568360000	409780000	671550000	1437500000
protein_937	155300000	37488000	78131000	43391000	58018000	85491000
protein_938	21930000	306030	27762000	20937000	3363900	44568000
protein_939	4419300000	708670000	1929200000	2721600000	4543400000	6829300000
protein_940	62835000	12472000	18242000	73775000	53533000	122940000
protein_941	559490000	109580000	262890000	404190000	497060000	1301000000
protein_942	9000100	1883300	8999600	9874900	11558000	6197500
protein_943	211580000	47528000	147780000	85596000	57144000	127540000
protein_944	37696000	2768500	9019400	32737000	25757000	41346000
protein_945	32777000	8147500	4897900	5132500	2007000	3025100
protein_946	8911700	4145400	7011000	6168300	4652600	7658600
protein_947	66656000	22213000	42774000	13839000	13636000	28446000
protein_948	401890000	100880000	253330000	88952000	71223000	184540000
protein_949	71521000	27003000	97461000	72178000	40467000	153040000
protein_950	372240000	161650000	243640000	493450000	458820000	794330000
protein_951	97346000	32420000	81532000	106100000	72457000	163230000
protein_952	358300000	109750000	226670000	308550000	234240000	575390000
protein_953	256470000	84988000	225640000	296630000	214050000	713090000
protein_954	278590000	49969000	219760000	240740000	175570000	581750000
protein_955	10121000	26053000	40566000	7099700	8026300	17087000
protein_956	136330000	29448000	19906000	32153000	87647000	46871000
protein_957	307730000	67006000	81516000	121920000	148040000	138650000
protein_958	16643000	1059300	10210000	20845000	10417000	44907000
protein_959	315760000	116410000	222560000	251560000	181280000	437000000
protein_960	328000000	180790000	318530000	382880000	346030000	741930000
protein_961	509290000	168240000	493870000	629150000	464410000	1650900000
protein_962	168510000	81599000	301890000	121210000	114630000	421070000
protein_963	347780000	133000000	284680000	225520000	239770000	729720000
protein_964	353970000	165660000	295950000	389950000	269810000	612570000
protein_965	27460000	6031300	21537000	8964000	11850000	37677000
protein_966	1095200000	268930000	601500000	1149100000	690080000	1793900000
protein_967	140320000	52689000	130450000	97404000	63994000	270030000
protein_968	407240000	153990000	319010000	449910000	308470000	933250000
protein_969	61089000	57773000	109600000	91381000	121030000	310030000
protein_970	432920000	142670000	211980000	219370000	260080000	374870000
protein_971	105130000	37964000	64125000	91581000	79850000	184560000
protein_972	839750000	254020000	641550000	996560000	732360000	2206800000
protein_973	86100000	28970000	90585000	81462000	48723000	337350000
protein_974	639610000	213380000	245390000	214580000	311690000	383760000
protein_975	188100000	42587000	133410000	214490000	153110000	380800000
protein_976	79312000	32566000	95273000	78194000	93336000	228120000
protein_977	236490000	64001000	189890000	249750000	132020000	538690000
protein_978	142030000	63367000	200860000	152350000	130630000	444240000
protein_979	306170000	88820000	252230000	373340000	219710000	736720000
protein_980	144610000	56612000	42963000	148000000	234140000	153600000
protein_981	44141000	7280100	21832000	69103000	45787000	97890000
protein_982	46927000	8885000	46481000	58154000	42421000	168980000
protein_983	96334000	26963000	92412000	57296000	39414000	118870000
protein_984	72388000	14570000	40248000	43384000	42905000	90569000
protein_985	157800000	33164000	114390000	140040000	129670000	243340000
protein_986	489090000	77008000	140330000	322360000	320700000	454170000
protein_987	57337000	9377700	30678000	12666000	17693000	21119000
protein_988	22303000	5279000	5860200	23794000	8065500	29064000
protein_989	12267000	936960	7109800	13743000	4372600	27614000
protein_990	13192000	3555000	9358700	28055000	22808000	67990000
protein_991	54697000	13866000	34128000	25956000	29597000	31556000
protein_992	58135000	10104000	0	0	52275000	222150000
protein_993	12074000	8084100	14467000	100050000	75641000	299260000
protein_994	47727000	10408000	31390000	71860000	43675000	187280000
protein_995	230770000	39150000	123200000	254830000	305290000	559490000
protein_996	11615000	2719600	9594900	15053000	9019900	24615000
protein_997	18016000	3729000	11765000	50481000	65222000	83188000
protein_998	54449000	19167000	45536000	212580000	133910000	429090000
protein_999	7871800	3123000	6540500	24749000	14166000	49231000
